Time(s),X(m/s^2),Y(m/s^2),Z(m/s^2)
3.25324204,-1.830000043,-5.704050064,2.658000231
3.27027073,-2.014050007,-6.393000126,1.603950024
3.28729934,-2.974050045,-6.646950245,1.95600009
3.30432818,-3.810000181,-6.721050262,3.169950247
3.32135688,-4.114050388,-7.561950207,3.963000298
3.33838574,-4.120950222,-8.401950836,5.46600008
3.35541437,-2.758950233,-8.187000275,7.135050297
3.37244306,-3.024000168,-8.500050545,7.06305027
3.38947169,-3.213000059,-8.047950745,6.811950207
3.40650054,-2.899950027,-6.673050404,8.586000443
3.42352923,-2.983950138,-8.61495018,5.799000263
3.44055814,-3.655950069,-10.24605083,-2.464950085
3.45758674,-5.401950359,-10.87500095,-7.258050442
3.47461543,-6.07005024,-17.45700073,-6.751050472
3.4916443,-7.372050285,-27.59700203,-5.424000263
3.50867299,-9.763950348,-33.70500183,-0.531000018
3.52570157,-6.441000462,-14.09295082,11.71800041
3.54273041,-2.434950113,-8.269950867,1.903050065
3.55975902,-5.493000031,-9.915000916,-1.692000031
3.57678771,-2.284950018,-9.433950424,-1.315950036
3.59381656,-0.670950055,-6.685050488,-1.261050105
3.61084524,-0.058050003,-5.673000336,-3.84705019
3.62787383,-2.019000053,-4.885050297,-3.552000284
3.64490265,-3.028950214,-5.038050175,-3.792000294
3.66193133,-2.797050238,-5.152950287,-0.463050008
3.67896016,-3.55305028,-5.182050228,2.797050238
3.69598878,-4.558950424,-5.119050026,3.44505024
3.71301746,-4.593000412,-4.389000416,3.307050228
3.73004632,-3.549000263,-3.793050289,3.358950138
3.74707501,-3.98205018,-3.895950079,2.950050116
3.76410362,-4.630950451,-4.401000023,2.152050018
3.78113223,-5.482950211,-4.660050392,2.169000149
3.79816106,-6.561000347,-4.666950226,2.236050129
3.81518976,-5.818050385,-4.863000393,1.839000106
3.83221862,-3.027000189,-5.119050026,1.56795013
3.84924725,-1.846050143,-4.890000343,1.615950108
3.86627592,-1.588050127,-4.427999973,1.437000036
3.88330481,-2.044950008,-4.339050293,2.076000214
3.9003335,-3.634950161,-4.648050308,3.639000177
