Time(s),X(m/s^2),Y(m/s^2),Z(m/s^2)
4.15303615,-2.925524712,-7.261020184,-5.546862125
4.16989709,-2.01326108,-7.016952515,-5.436792374
4.1867573,-1.383649707,-6.566802502,-4.773681164
4.20361745,-0.964606643,-6.940083027,-4.119842529
4.22047839,-1.455434322,-8.237890244,-4.416851521
4.23733933,-2.209472656,-8.498707771,-5.029713154
4.25419953,-3.684348583,-8.565707207,-5.247459888
4.27105969,-5.164010525,-7.818847179,-5.353043556
4.28792063,-6.004190445,-7.287341595,-5.451148987
4.30478156,-6.21505785,-8.343173981,-5.436792374
4.32164177,-6.320342064,-10.54576778,-3.835096598
4.33850193,-5.01774931,-12.59492111,-2.353041887
4.35536282,-5.654838085,-12.16660595,-0.107377917
4.37222381,-5.26690197,-12.44178009,1.048953652
4.38908401,-4.984249592,-12.78186035,0.426520646
4.40594417,-6.542874336,-11.19212914,-1.196710467
4.42280511,-7.991429329,-7.971987724,-1.524826288
4.43966604,-9.119047165,-7.792526245,-1.941177368
4.45652625,-10.81406307,-8.448458672,-2.705085993
4.47338641,-9.341579437,-7.694420338,-4.282853603
4.49024735,-7.107879639,-7.692027569,-4.244568348
4.50710834,-6.0927248,-8.34556675,-2.554338217
4.52396849,-5.448756218,-9.559326172,-1.563111424
4.54082865,-5.027320385,-9.830014229,-0.708275497
4.55768959,-4.783252239,-8.565707207,-1.062712312
4.57455058,-4.081856251,-6.882655144,-2.455933332
4.59141073,-3.097808123,-5.975476265,-3.89730978
4.60827089,-2.286342144,-5.283352375,-4.08873558
4.62513183,-2.065903187,-5.338686466,-3.35862565
4.64199282,-1.469791293,-5.388935566,-2.563909531
4.65885297,-1.436291814,-5.475077152,-2.455933332
4.67571313,-2.27677083,-5.644967556,-2.429612398
4.69257406,-3.090629578,-5.882156372,-2.863012314
4.70943506,-4.29003191,-6.463911057,-3.741776466
4.72629526,-5.879763603,-6.743871689,-5.266602516
4.74315537,-8.091927528,-6.468697071,-7.268198967
4.7600163,-8.997013092,-5.625824928,-8.067700386
4.7768773,-7.840382576,-5.554040432,-7.004988194
4.7937375,-7.337889671,-6.351149559,-5.501398563
4.81059766,-6.099903107,-6.403791428,-5.520540714
4.82745854,-5.769693375,-5.824429512,-5.795715332
4.84431953,-6.298806667,-7.337590694,-4.179663181
4.86117974,-7.847859859,-7.670492172,-3.966701746
4.8780399,-9.540482521,-7.430910587,-2.891726255
4.89490084,-10.80209827,-11.69970608,-6.408577442
4.91176177,-13.74437332,-21.20668983,-1.148854017
4.92862198,-4.847858906,-20.48854446,1.563709617
4.94548214,4.256831646,-10.69412231,1.159023523
4.96234308,1.307378531,-7.277770042,0.167796686
4.97920407,3.643969774,-3.882952929,0.639481843
4.99606422,2.626421928,-5.71435976,-4.02652216
5.01292438,-0.380458802,-7.05523777,-4.194318771
5.02978532,-2.40598321,-9.437292099,-6.367899418
5.0466463,-2.319841623,-10.2846508,-5.822036743
5.06350651,-4.199104786,-12.10917854,-4.754538536
