Time(s),X(m/s^2),Y(m/s^2),Z(m/s^2)
2.83230454,-1.650000095,-7.549950123,0.888000071
2.84932918,-2.395050049,-9.403050423,0.673050046
2.86635389,-3.798000097,-10.93305016,1.156050086
2.88337872,-4.924950123,-11.20095062,0.759000063
2.90040334,-5.416050434,-10.87995052,0.381000012
2.91742794,-5.287050247,-10.24995041,0.673050046
2.93445261,-4.336050034,-9.208950043,1.222950101
2.95147722,-2.875950098,-8.293950081,1.504050016
2.96850208,-1.291050076,-7.480050564,1.291050076
2.98552671,-0.987000048,-7.786950588,0.643950045
3.00255141,-1.23300004,-8.404050827,-0.478050023
3.01957605,-2.557050228,-8.713050842,-0.969000042
3.0366009,-4.164000034,-8.907000542,-0.315000027
3.05362549,-4.413000107,-8.758950233,-0.574050009
3.07065012,-3.361950159,-7.717050552,0.127050012
3.08767484,-2.09100008,-7.051950455,0.919050038
3.10469947,-1.470000029,-7.444050312,1.024950027
3.12172432,-2.020950079,-7.885050297,0.385050029
3.13874895,-2.577000141,-8.218050003,0.271050006
3.15577363,-2.524050236,-8.7520504,0.022050001
3.1727985,-1.992000103,-8.734950066,-0.094950005
3.1898231,-2.184000015,-8.661000252,-0.745950043
3.20684776,-2.497950077,-8.644050598,-0.868050039
3.22387237,-2.521950006,-9.088950157,-0.792000055
3.24089719,-2.380050182,-10.32495022,-0.913950026
3.25792181,-2.21505022,-11.3760004,-0.850950062
3.27494647,-2.46600008,-12.22800064,-0.657000005
3.29197129,-3.927000284,-13.30995083,-1.28700006
3.30899591,-3.280950069,-12.61395073,-0.940050066
3.32602061,-2.566950083,-12.67095089,-0.399000019
3.3430452,-2.923950195,-14.05005074,0.141000003
3.36007003,-2.385000229,-13.88700104,1.16595006
3.37709464,-2.422950029,-12.76695061,1.762050033
3.39411938,-1.863000035,-11.47905064,2.551950216
3.41114398,-2.353950024,-10.53795052,3.109950066
3.42816884,-2.500050068,-9.978000641,3.103050232
3.44519346,-2.842050076,-9.304950714,2.53305006
3.46221816,-3.694950104,-8.725049973,1.66200006
3.47924281,-3.870000124,-8.637000084,1.018050075
3.49626765,-3.382950068,-9.7999506,0.249000013
3.51329229,-1.600050092,-11.98200035,-0.217050016
3.53031698,0.051000003,-12.550951,0.01905
3.54734162,0.576000035,-11.69400024,0.682050049
3.56436648,0.544950008,-10.76805019,1.213950038
3.58139109,-1.156949997,-10.17900085,0.721050024
3.5984158,-4.384050369,-10.0129509,0.646050036
3.61544042,-4.582950115,-9.511050224,1.477050066
3.63246528,-3.345000267,-8.725049973,2.196000099
3.64948988,-2.143050194,-8.103000641,2.289000034
3.66651457,-1.686000109,-7.642950535,2.10705018
3.68353916,-1.245000005,-6.760050297,1.695000052
3.70056396,-0.901050031,-6.238050461,1.732950091
3.71758857,-0.537000001,-5.862000465,1.681050062
3.73461326,0.13305001,-5.221950054,1.864950061
3.75163785,0.649950028,-4.156949997,2.260050058
3.76866269,0.75000006,-3.606000185,2.445000172
3.78568729,0.649950028,-3.49905014,2.503950119
3.80271198,0.310050011,-3.457950115,2.161950111
3.81973659,-0.055050004,-3.453000069,2.097000122
3.83676145,-0.895950019,-3.798000097,2.446950197
3.85378614,-1.083000064,-3.973050117,2.695950031
3.87081078,-0.582000017,-3.999000072,2.401050091
3.88783564,-1.851000071,-4.570950031,4.91505003
3.90486028,-11.58405018,-8.7520504,15.22305107
3.92188496,-9.694950104,-14.94300079,-1.099950075
3.93890962,-3.565050125,-15.07500076,11.70105076
3.95593448,-4.708050251,-13.48995018,4.243050098
3.9729591,-5.979000092,-9.328950882,1.396050096
3.98998378,-3.745050192,-6.349950314,4.876950264
4.00700864,-2.31795001,-6.714000225,4.231050014
4.0240332,-1.309950113,-7.558950424,1.864950061
4.0410579,-0.964950025,-7.267050266,1.068000078
4.05808252,-1.174050093,-7.285950184,0.508050025
4.07510736,-2.110050201,-8.566950798,-0.025050001
4.09213198,-3.237000227,-9.982050896,0.421050012
4.10915664,-4.303050041,-10.91595078,0.595950007
4.12618125,-5.253000259,-11.55300045,0.712950051
4.14320606,-4.771950245,-10.73895073,1.425000072
4.16023077,-3.357000113,-9.084000587,1.831950068
4.17725541,-2.245950222,-7.605000496,1.828950047
4.19428025,-1.546950102,-6.822000504,0.940950036
4.21130488,-1.090050101,-7.449000359,-0.640950024
4.22832955,-1.573050022,-8.199000359,-0.832050026
4.24535416,-2.509950161,-9.046050072,-0.202950016
4.26237901,-3.376050234,-9.202050209,0.211050004
4.27940372,-3.361950159,-8.637000084,0.490950018
4.29642835,-2.46600008,-8.062050819,0.607950032
4.31345321,-1.684050083,-7.894050598,0.522000015
4.33047783,-1.624050021,-7.954050541,0.109950006
4.34750252,-1.714950085,-8.460000038,0.394950032
4.36452712,-2.281949997,-8.617950439,-0.19995001
4.38155194,-2.658000231,-8.907000542,-0.877950013
4.39857656,-2.526000023,-9.163050652,-0.865950048
4.41560127,-2.304000139,-9.241950035,-0.454050034
4.43262612,-3.015000105,-9.68295002,-0.645000041
4.44965078,-3.039000034,-10.73400021,-0.688950062
4.46667537,-3.393000126,-11.87100029,-0.408000022
4.4837002,-3.241950035,-12.11805058,-0.301050007
4.50072479,-3.313950062,-12.45795059,-0.703050017
4.5177495,-2.914050102,-12.02700043,-1.153050065
4.53477412,-2.53395009,-12.30495071,-0.339000017
4.55179897,-1.734000087,-14.18700027,0.888000071
4.56882359,-1.552050114,-14.34000111,1.879950047
4.58584827,-1.83705008,-12.64995098,2.461050034
4.60287291,-2.038050175,-10.87800026,2.940000057
4.61989777,-2.658000231,-9.721050262,3.211050034
4.63692247,-3.570000172,-8.983950615,3.04095006
4.65394713,-4.942050457,-8.74905014,2.041949987
4.67097196,-5.494950294,-8.794950485,0.781050026
4.68799667,-5.095050335,-9.727950096,-0.219000012
4.70502128,-2.617050171,-11.65605068,-0.799050033
4.72204611,-0.493950009,-12.14895058,-0.114000008
4.73907074,0.315000027,-11.65095043,0.828000069
4.75609546,0.643050015,-10.71000004,1.161000013
4.7731203,-1.972950101,-10.19100094,1.161000013
4.79014494,-3.466950178,-10.69605064,0.940950036
