,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
2601,26.14238796,-2.697989502,9.382339325,-0.1686991882
2602,26.15243796,-2.717449036,9.372160492,-0.2067201233
2603,26.16248896,-2.74738678,9.369466095,-0.2408491516
2604,26.17253896,-2.762954407,9.383536835,-0.2532733154
2605,26.18258996,-2.793490906,9.3946138,-0.2213896179
2606,26.19263996,-2.802172852,9.375453644,-0.1547781372
2607,26.20269096,-2.800526276,9.377848663,-0.1059796143
2608,26.21274433,-2.785557404,9.390572205,-0.1043330383
2609,26.22279533,-2.769840088,9.416318665,-0.137713623
2610,26.23284533,-2.751877441,9.430688782,-0.1573228455
2611,26.24289633,-2.74154892,9.432634735,-0.1631607056
2612,26.25294633,-2.743045807,9.420210571,-0.1673519897
2613,26.26299733,-2.741099854,9.394913177,-0.1806742859
2614,26.27304733,-2.740501099,9.356143799,-0.2056723022
2615,26.28309833,-2.75202713,9.346563721,-0.237406311
2616,26.29314833,-2.758164368,9.326206055,-0.2468367004
2617,26.30319833,-2.762954407,9.310937805,-0.230969696
2618,26.31324933,-2.77193573,9.318122864,-0.2016307068
2619,26.32329933,-2.784509583,9.329199829,-0.1957928467
2620,26.33335033,-2.792293396,9.345815277,-0.1887574768
2621,26.34340033,-2.801723785,9.353599091,-0.1755848694
2622,26.35345133,-2.823129272,9.380093994,-0.1721420288
2623,26.36350133,-2.831811218,9.406439209,-0.1269360352
2624,26.37355233,-2.826422424,9.410630493,-0.07469467163
2625,26.38360233,-2.788251801,9.379944305,-0.05553451538
2626,26.39365333,-2.74738678,9.342821503,-0.0758921814
2627,26.40370333,-2.72283783,9.311237183,-0.1546284485
2628,26.41375433,-2.694097595,9.30105835,-0.2335144043
2629,26.42380433,-2.688409424,9.309141541,-0.2591111755
2630,26.43385533,-2.719694366,9.320667572,-0.2399510193
2631,26.44390533,-2.731819153,9.303004303,-0.2338137817
2632,26.45395633,-2.743045807,9.311985626,-0.26210495
2633,26.46400633,-2.759960632,9.328900452,-0.2947370911
2634,26.47405733,-2.78241394,9.347012787,-0.2767744446
2635,26.48410733,-2.781066742,9.372759247,-0.227227478
2636,26.49415833,-2.780767365,9.40628952,-0.1941462708
2637,26.50420833,-2.778821411,9.405541077,-0.1824705505
2638,26.51425933,-2.772684174,9.387728119,-0.177381134
2639,26.52430933,-2.780767365,9.372908936,-0.1841171265
2640,26.53435933,-2.800975342,9.363478546,-0.2189945984
2641,26.54441033,-2.798730011,9.332343292,-0.2525248718
2642,26.55446133,-2.770588531,9.314380646,-0.2597099304
2643,26.56451133,-2.753823395,9.300309906,-0.259410553
2644,26.57456133,-2.734812927,9.329349518,-0.2213896179
2645,26.58461233,-2.719095612,9.370214539,-0.1859133911
2646,26.59466233,-2.697690125,9.37006485,-0.1648072815
2647,26.60471333,-2.689307556,9.369915161,-0.1954934692
2648,26.61476333,-2.697839813,9.366172943,-0.2287243652
2649,26.62481433,-2.711012421,9.344917145,-0.2249821472
2650,26.63486433,-2.738255768,9.358838196,-0.2387535095
2651,26.64491533,-2.744692383,9.336384888,-0.2713856506
2652,26.65496533,-2.745291138,9.313332825,-0.2912942505
2653,26.66501633,-2.754571838,9.296417999,-0.302820282
2654,26.67506633,-2.781964874,9.320966949,-0.3257226562
2655,26.68511733,-2.812651062,9.324559479,-0.3279679871
2656,26.69516733,-2.822829895,9.335486755,-0.2902464294
2657,26.70521833,-2.822979584,9.366771698,-0.2618055725
2658,26.71526833,-2.830763397,9.401948547,-0.2564167786
2659,26.72531933,-2.832260284,9.42036026,-0.2589614868
2660,26.73536933,-2.836002502,9.419462128,-0.2688409424
2661,26.74542033,-2.812950439,9.414223022,-0.2552192688
2662,26.75547033,-2.772833862,9.409732361,-0.2433938599
2663,26.76552133,-2.726879425,9.40164917,-0.2505789185
2664,26.77557133,-2.719694366,9.39700882,-0.2381547546
2665,26.78562233,-2.719844055,9.395960999,-0.2188449097
2666,26.79567233,-2.701432343,9.388177185,-0.2375559998
2667,26.80572333,-2.706222382,9.38877594,-0.2817141724
2668,26.81577333,-2.721490631,9.369615784,-0.3188369751
2669,26.82582433,-2.72747818,9.376950531,-0.3070115662
2670,26.83587433,-2.728226624,9.365574188,-0.2716850281
2671,26.84592533,-2.724933472,9.336833954,-0.2601589966
2672,26.85597533,-2.708617401,9.316027222,-0.2782713318
2673,26.86602633,-2.705473938,9.342073059,-0.3046165466
2674,26.87607633,-2.71340744,9.357640686,-0.2827619934
2675,26.88612733,-2.716401215,9.345665588,-0.2433938599
2676,26.89617733,-2.708467712,9.336684265,-0.2209405518
2677,26.90622833,-2.706970825,9.334588623,-0.2439926147
2678,26.91627833,-2.696193237,9.356742554,-0.2550695801
2679,26.92632833,-2.697690125,9.371561737,-0.2468367004
2680,26.93637933,-2.703228607,9.379644928,-0.2435435486
