Time(s),X(m/s^2),Y(m/s^2),Z(m/s^2)
12.02396242,-2.995950222,-14.8549509,2.46600008
12.04099012,-1.984950066,-13.7989502,3.87195015
12.05801781,-1.060950041,-11.3539505,4.899000168
12.07504549,-0.544050038,-9.259050369,5.184000015
12.09207317,-1.186050057,-8.634000778,4.510950089
12.10910083,-2.943000078,-8.694000244,3.799950123
12.12612853,-4.81305027,-8.68500042,3.805050135
12.14315601,-6.111000061,-8.941050529,3.034050226
12.1601837,-6.74505043,-9.142050743,0.193950012
12.17721139,-7.380000114,-8.598000526,-2.54700017
12.1942391,-6.388050079,-9.693000793,1.687950134
12.21126682,-3.166050196,-12.37905025,4.000950336
12.22829451,0.042000003,-14.29005051,1.039050102
12.24532214,1.474050045,-12.87495041,0.120000005
12.26234984,1.938000083,-9.685050011,-0.63105005
12.27937754,1.633950114,-7.62405014,-0.466050029
12.29640524,-0.481950015,-6.139050484,0.378000021
12.31343295,-3.738000154,-5.818950176,2.208000183
12.33046062,-5.530950069,-5.791950226,2.98995018
12.34748831,-5.020950317,-5.649000168,3.819000244
12.36451602,-3.091050148,-5.155050278,3.406950235
12.38154345,-1.777050138,-4.698000431,2.077950001
12.39857114,-0.915000022,-4.015950203,0.928950071
12.41559884,-1.104000092,-3.130050182,0.924000025
12.43262652,-1.348050117,-2.593950033,1.912950039
12.44965423,-1.281000018,-2.677050114,2.878050089
12.46668192,-0.901050031,-3.120000124,3.060000181
12.48370961,-0.574950039,-3.190050125,2.743950129
12.50073729,-1.035000086,-3.115050077,2.583000183
12.5177649,-1.468050122,-3.001050234,2.386950016
12.53479258,-1.426950097,-2.907000065,2.434950113
12.55182025,-0.931950033,-3.055950165,2.635950089
12.56884795,-1.243050098,-3.118050098,2.718000174
12.58587563,-4.015950203,-2.809050083,4.663950443
12.60290307,-7.957050323,-3.3910501,12.87195015
12.61993077,-11.8780508,-11.52405071,10.2829504
12.63695847,-11.70405102,-21.82695198,9.984000206
12.65398616,-10.12800026,-14.9959507,11.11695099
12.67101386,-7.471050262,-7.203000546,3.900000095
12.6880416,-1.642950058,-5.55300045,3.373950243
12.70506927,-0.30705002,-5.505000114,4.735949993
12.72209696,-1.753050089,-5.436000347,3.733050108
12.7391246,-3.352050066,-6.529950142,2.856000185
12.75615238,-4.618950367,-8.043000221,1.936950088
12.77317997,-5.883000374,-8.55795002,0.931050062
12.79020767,-6.33795023,-7.413000584,1.105949998
12.80723539,-7.200000286,-5.905050278,0.982050061
12.82426284,-7.015950203,-5.136000156,1.836000085
12.84129055,-6.706950188,-5.14800024,2.056950092
12.85831824,-6.379050255,-5.722950459,2.440050125
12.87534591,-5.88795042,-6.517950535,2.536050081
12.89237359,-5.107050419,-7.309950352,2.119050026
12.9094013,-4.825050354,-8.041049957,1.353000045
12.92642893,-4.987950325,-8.923950195,0.759000063
12.94345662,-5.155050278,-9.652050018,0.235050008
12.96048431,-5.136000156,-9.597000122,0.405000031
12.97751199,-5.433000088,-9.448050499,0.712950051
12.99453968,-5.668050289,-9.361950874,0.76395005
13.01156717,-5.646000385,-9.336000443,1.021950006
13.02859486,-4.360050201,-9.262050629,1.141950011
13.04562256,-3.079050064,-9.111000061,1.080000043
13.06265026,-2.031000137,-8.979000092,1.231050014
13.07967788,-1.228950024,-8.554950714,0.903000057
13.09670556,-1.092000008,-7.566000462,0.679950059
13.11373325,-1.156949997,-6.762000084,0.583950043
13.13076096,-1.522950053,-6.271050453,0.211050004
13.14778841,-1.461000085,-5.83095026,0.109950006
13.16481614,-2.337000132,-5.566950321,-0.708000004
13.18184382,-2.538000107,-5.634000301,-0.708000004
13.19887148,-2.613000154,-6.360000134,-0.805950046
13.21589919,-2.446950197,-7.282050133,-0.667050004
13.23292677,-2.57400012,-8.509950638,-0.301050007
13.24995446,-3.988950253,-9.8770504,0.414000034
13.26698217,-5.13105011,-10.51395035,0.610950053
13.28400983,-6.241950512,-10.93995094,0.064950004
13.30103753,-7.705050468,-11.65395069,-0.721950054
13.31806495,-8.701050758,-12.84795094,-1.158000112
13.33509262,-8.608050346,-14.45205116,-1.573950052
13.3521203,-6.781050205,-15.0510006,-1.728000045
13.369148,-4.401000023,-15.46800041,-1.078950047
13.38617563,-3.331050158,-15.89595032,0.721050024
13.40320331,-3.036000252,-14.9959507,2.883000135
13.42023099,-2.874000072,-13.2480011,4.578000069
13.43725867,-2.730000019,-10.94205093,4.980000019
13.45428613,-2.610000134,-8.517000198,5.18805027
13.47131381,-2.81400013,-7.336950302,4.51995039
13.48834152,-3.952950239,-6.979950428,4.578000069
13.50536922,-5.33700037,-7.363050461,3.594000101
13.52239685,-5.371050358,-7.93500042,-0.067950003
13.53942454,-6.558000088,-7.590000153,-4.243950367
